Year_Année,Region_Région,Question,Response_Réponse,Group_Groupe,Subgroup_Sous_groupe,Percent_Pourcent,F95lcl,F95ucl,Data_quality_Qualité_des_données,Notes_Remarques,Language_Langue,ObjectId
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,45 to 54 years old,Age,31.9,23.8,41.2,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,80
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,45 to 54 years old,Age,35.1,25.5,46,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,81
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,45 to 54 years old,Age,47,36.1,58.2,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,82
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,45 to 54 years old,Age,41.4,30.8,52.7,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,83
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,45 to 54 years old,Age,30.2,21.5,40.6,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,84
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,45 to 54 years old,Age,33.1,24.3,43.2,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,85
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,45 to 54 years old,Age,24.1,16.1,34.4,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,86
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,45 to 54 years old,Age,21.3,12.5,33.8,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,87
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,45 à 54 ans,Âge,24.1,16.1,34.4,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,88
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,45 à 54 ans,Âge,29.4,20.2,40.6,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,89
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,45 à 54 ans,Âge,29.3,20,40.7,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,90
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,45 à 54 ans,Âge,21.3,12.5,33.8,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,91
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,45 à 54 ans,Âge,33.1,24.3,43.2,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,92
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,45 à 54 ans,Âge,30.2,21.5,40.6,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,93
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,45 à 54 ans,Âge,31.7,21.9,43.5,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,94
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,45 à 54 ans,Âge,41.4,30.8,52.7,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,95
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,45 à 54 ans,Âge,31.9,23.8,41.2,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,96
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,45 à 54 ans,Âge,45.7,34,57.9,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,97
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,45 à 54 ans,Âge,35.1,25.5,46,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,98
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,55 to 64 years old,Age,44.4,34.3,55,,,English,99
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,55 to 64 years old,Age,39.9,31.6,48.9,,,English,100
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,55 to 64 years old,Age,30.4,23.2,38.6,,,English,101
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,55 to 64 years old,Age,20.2,13.1,29.8,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,102
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,55 to 64 years old,Age,23.7,16.6,32.8,,,English,103
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,55 to 64 years old,Age,31.9,22.3,43.2,,,English,104
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,55 to 64 years old,Age,28.1,18.8,39.8,,,English,105
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,55 to 64 years old,Age,30.1,22,39.6,,,English,106
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,55 to 64 years old,Age,41.8,32.2,52.1,,,English,107
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,55 to 64 years old,Age,16,9.2,26.4,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,108
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,55 to 64 years old,Age,29.7,22.1,38.7,,,English,109
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,55 à 64 ans,Âge,41.8,32.2,52.1,,,Français,110
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,55 à 64 ans,Âge,28.1,18.8,39.8,,,Français,111
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,55 à 64 ans,Âge,23.7,16.6,32.8,,,Français,112
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,55 à 64 ans,Âge,63.8,52.8,73.5,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,113
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,55 à 64 ans,Âge,39.9,31.6,48.9,,,Français,114
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,55 à 64 ans,Âge,44.4,34.3,55,,,Français,115
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,55 à 64 ans,Âge,16,9.2,26.4,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,116
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,55 à 64 ans,Âge,30.4,23.2,38.6,,,Français,117
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,55 à 64 ans,Âge,31.9,22.3,43.2,,,Français,118
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,55 à 64 ans,Âge,20.2,13.1,29.8,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,119
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,55 à 64 ans,Âge,30.1,22,39.6,,,Français,120
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,65 ans et plus,Âge,13.2,8.5,19.8,,,Français,121
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,65 ans et plus,Âge,49.4,41.2,57.5,,,Français,122
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,65 ans et plus,Âge,15.5,10.4,22.5,,,Français,123
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,65 ans et plus,Âge,48.8,41.2,56.6,,,Français,124
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,65 ans et plus,Âge,50.6,41.6,59.5,,,Français,125
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,65 ans et plus,Âge,25,17.4,34.7,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,126
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,65 ans et plus,Âge,13.1,8.6,19.4,,,Français,127
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,65 ans et plus,Âge,37.6,30,45.8,,,Français,128
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,65 ans et plus,Âge,35.6,28.5,43.4,,,Français,129
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,65 ans et plus,Âge,67.4,57.3,76.2,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,130
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,65 ans et plus,Âge,36.3,27.5,46,,,Français,131
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,65 years and older,Age,7.6,3.7,14.9,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,132
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,65 years and older,Age,67.4,57.3,76.2,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,133
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,65 years and older,Age,37.6,30,45.8,,,English,134
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,65 years and older,Age,13.2,8.5,19.8,,,English,135
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,65 years and older,Age,15.5,10.4,22.5,,,English,136
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,65 years and older,Age,25,17.4,34.7,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,137
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,65 years and older,Age,36.3,27.5,46,,,English,138
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,65 years and older,Age,35.6,28.5,43.4,,,English,139
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,65 years and older,Age,49.4,41.2,57.5,,,English,140
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,65 years and older,Age,48.8,41.2,56.6,,,English,141
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,65 years and older,Age,50.6,41.6,59.5,,,English,142
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,All persons,Overall,31.4,26.3,36.9,,,English,143
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,All persons,Overall,24.7,20.3,29.7,,,English,144
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,All persons,Overall,29.4,25.3,33.8,,,English,145
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,All persons,Overall,33.1,28.3,38.2,,,English,146
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,All persons,Overall,36.3,31.5,41.3,,,English,147
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,All persons,Overall,29.4,25.1,34.1,,,English,148
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,All persons,Overall,52.3,46.8,57.7,,,English,149
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,All persons,Overall,37.5,33,42.3,,,English,150
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,All persons,Overall,34.1,29.9,38.5,,,English,151
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,All persons,Overall,16.3,12.4,21.2,,,English,152
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,All persons,Overall,36.5,32,41.3,,,English,153
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,Baccalauréat,Niveau de scolarité le plus élevé atteint,34.1,26.3,42.8,,,Français,154
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Baccalauréat,Niveau de scolarité le plus élevé atteint,38.5,30.4,47.3,,,Français,155
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,Baccalauréat,Niveau de scolarité le plus élevé atteint,17.6,9.9,29.4,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,156
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Baccalauréat,Niveau de scolarité le plus élevé atteint,31,22.5,41,,,Français,157
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,Baccalauréat,Niveau de scolarité le plus élevé atteint,22.9,14.5,34,,,Français,158
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,Baccalauréat,Niveau de scolarité le plus élevé atteint,20.9,14.3,29.5,,,Français,159
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,Baccalauréat,Niveau de scolarité le plus élevé atteint,36.1,27.5,45.7,,,Français,160
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,Baccalauréat,Niveau de scolarité le plus élevé atteint,27.4,19.8,36.4,,,Français,161
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,Baccalauréat,Niveau de scolarité le plus élevé atteint,43,34.6,51.8,,,Français,162
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,Baccalauréat,Niveau de scolarité le plus élevé atteint,46.2,36.8,55.8,,,Français,163
